License,Owner,Street,City,State,Zip,Lat,Lon
200161724,La Catarina Restaurant #3 LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,La Catedral Del Mariscos LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LAC BEN WHITE LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200139103,Hoard4Road LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200161724,"La Frontera Austin, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,La Fruta Feliz LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,SUN TRS LA HACIENDA LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200163192,ARR ENTERPRISE INC.,111 W William Cannon Dr,Austin,TX,78745,30.192773,-97.779537
200051925,TATI BUSINESS LLC,111 W William Cannon Dr,Austin,TX,78745,30.348135,-97.721754
200139103,"Espisa Beverage Co., LLC",1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200103090,Austin Bakes LLC,7200 Cameron Rd Suite 7210,Austin,TX,78752,30.337186,-97.75495
200099488,"RIB ATX Enterprises, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200144158,BBL Investment LLC,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200139103,EUREKA RESTAURANT GROUP LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200147943,2305 Burleson LLC,11212 N Interstate Hwy 35,Austin,TX,78753,30.803943,-97.618316
200139103,JAYA GHATAL TRADING INC.,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200144158,"Avocate, LLC",8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200129075,Traviata Lantana LLC,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200082645,900 W10th Restaurant LLC,7415 Southwest Parkway Building 5,Austin,TX,78735,30.337186,-97.75495
200139103,"DRH Lake Austin Tenant, LLC",1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200161724,Lake Travis Biergarten LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Lalas South Pole LP,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,K1ATX LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LANDRY DISTILLERY LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Lao'd Hospitality LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LAS CURRAS IN HYDE PARK LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,SFC SOFTWARE FACTORY LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,LAZARUS BREWING OPERTIONS ATX2 LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,Saigon Le Vendeur LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,Mama Bear Hospitality LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200161724,"Lefty's Pizza Kitchen - Austin, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
